target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar2,23,1.0388699649992923,0.6086956521739131,0.7757807488306324,0.932867595087777
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar2,21,1.0108676163627957,0.6190476190476191,0.9909850630370624,0.9909850630370624
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar2,64,0.9967955331579548,0.578125,0.2074560495871676,0.8298241983486707
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar2,62,0.9985553496745512,0.5483870967741935,0.3281195701308257,0.8759683678509425
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar2,60,0.9947002388880184,0.6,0.0945073760404391,0.3780295041617567
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar2,64,1.0107665205807748,0.640625,0.7005126395281007,0.9797602820958032
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar2,62,1.010982764818137,0.5483870967741935,0.4379841839254712,0.8759683678509425
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar2,60,1.012812562483367,0.6166666666666667,0.3911876567044632,0.7823753134089264
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar2,64,1.0351340330072765,0.6875,0.4366953913616497,0.582260521815533
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar2,62,1.031402810390568,0.5645161290322581,0.3890288405658791,0.5825156180251584
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar2,60,0.9777071156514042,0.65,0.090314214340705,0.2512290490195146
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar2,24,1.000084435177222,0.7083333333333334,0.2285699461509799,0.4943627948197924
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar2,23,1.0072854514485683,0.5217391304347826,0.338366457030098,0.5825156180251584
cpi_L7GR_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar2,21,1.0102853830081038,0.6666666666666666,0.3470705058761323,0.4627606745015097
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar2,64,1.0123064984236942,0.71875,0.2471813974098962,0.4943627948197924
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar2,62,1.0471914370858868,0.6935483870967742,0.5382469458296337,0.5825156180251584
cpi_L7GR_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar2,60,1.0361935738314003,0.6166666666666667,0.83526196949433,0.83526196949433
cpi_L7GR_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar2,64,1.0135214323955588,0.65625,0.7152941734770718,0.7152941734770718
