target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,6,expanding_ar1,52,1.1703991748733946,0.5769230769230769,0.1502379401033779,0.3285807605453593
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,7,expanding_ar1,51,1.3497133097270728,0.6862745098039216,0.1817296097303395,0.2725944145955092
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,8,expanding_ar1,50,1.3682628289552492,0.66,0.3226660337030873,0.4839990505546309
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,9,expanding_ar1,49,1.5522862991254631,0.6530612244897959,0.4070344172418837,0.4884413006902604
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,10,expanding_ar1,47,1.7408877726636975,0.7446808510638298,0.6680401775213892,0.6680401775213892
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,11,expanding_ar1,45,2.0263976614242076,0.7111111111111111,0.9059263155935344,0.9059263155935344
headline_12m_pct,uk_ipi_c262_noneu_12m_pct,12,expanding_ar1,43,1.7585656406212715,0.6744186046511628,0.9645718575879524,0.9657559638563382
ex_games_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,65,1.0006559920189169,0.6615384615384615,0.1072052912324162,0.2625796603000857
ex_games_12m_pct,uk_ipi_c26_12m_pct,2,expanding_ar1,63,0.9808101793479854,0.7301587301587301,0.0648354546147546,0.1296709092295092
ex_games_12m_pct,uk_ipi_c26_12m_pct,3,expanding_ar1,61,0.9494153005573348,0.7377049180327869,0.0322422230144125,0.0644844460288251
ex_games_12m_pct,uk_ipi_c26_12m_pct,4,expanding_ar1,59,0.8875698401621273,0.7627118644067796,0.0186233233279595,0.0433997319200226
ex_games_12m_pct,uk_ipi_c26_12m_pct,5,expanding_ar1,57,0.8502807678006234,0.7368421052631579,0.0189352086014137,0.0378704172028274
ex_games_12m_pct,uk_ipi_c26_12m_pct,6,expanding_ar1,55,0.910573337971346,0.7818181818181819,0.0277847104246467,0.0543986547936114
ex_games_12m_pct,uk_ipi_c26_12m_pct,7,expanding_ar1,53,1.0149380950858609,0.7547169811320755,0.0508374802443536,0.0937081617368028
ex_games_12m_pct,uk_ipi_c26_12m_pct,8,expanding_ar1,51,1.197916349389588,0.7843137254901961,0.1026873892592363,0.1625599364166767
ex_games_12m_pct,uk_ipi_c26_12m_pct,9,expanding_ar1,49,1.3222303536299649,0.7755102040816326,0.158565764847874,0.2088281400711365
ex_games_12m_pct,uk_ipi_c26_12m_pct,10,expanding_ar1,47,1.512219394687228,0.8085106382978723,0.2206412291701399,0.2979226496641725
ex_games_12m_pct,uk_ipi_c26_12m_pct,11,expanding_ar1,45,1.836690095265782,0.7777777777777778,0.3346940905293307,0.4995929959249618
ex_games_12m_pct,uk_ipi_c26_12m_pct,12,expanding_ar1,43,2.238240549226398,0.6744186046511628,0.8966797497848094,0.942147182333234
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,1,expanding_ar1,65,1.0051616642612151,0.6461538461538462,0.2188163835834047,0.2625796603000857
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,2,expanding_ar1,63,1.01567827263875,0.6825396825396826,0.1122792258236242,0.1684188387354364
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,3,expanding_ar1,61,1.0176760132895988,0.7704918032786885,0.0622634710650528,0.0933952065975792
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,4,expanding_ar1,59,1.0126424163638668,0.8135593220338984,0.0347433483183261,0.0521150224774891
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,5,expanding_ar1,57,0.9826444522588156,0.7719298245614035,0.0278972917370383,0.0418459376055575
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,6,expanding_ar1,55,1.1212635391720591,0.7636363636363637,0.0305364242975407,0.0543986547936114
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,7,expanding_ar1,53,1.3744400419191567,0.7358490566037735,0.0479104223715722,0.0937081617368028
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,8,expanding_ar1,51,1.5909828422265109,0.7647058823529411,0.1083732909444511,0.1625599364166767
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,9,expanding_ar1,49,1.6272448345976909,0.7346938775510204,0.2018577537987295,0.2088281400711365
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,10,expanding_ar1,47,1.6740426834771984,0.7659574468085106,0.3653468508009964,0.3653468508009964
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,11,expanding_ar1,45,1.712509844547362,0.8,0.6246064965852078,0.6246064965852078
ex_games_12m_pct,uk_ipi_c26_noneu_12m_pct,12,expanding_ar1,43,1.499947671117619,0.7441860465116279,0.9389021392903012,0.942147182333234
ex_games_12m_pct,uk_ipi_c261_12m_pct,1,expanding_ar1,65,0.9946185683632236,0.5538461538461539,0.1861101989623819,0.2625796603000857
ex_games_12m_pct,uk_ipi_c261_12m_pct,2,expanding_ar1,63,1.0013995916326062,0.6031746031746031,0.4165498000221067,0.499859760026528
