date,year,component_id,component_label,country,value,net_mass
2018-02-01,2018,D7EO,Photographic and optical equipment,Taiwan,1101004.0,9013.0
2018-03-01,2018,D7EO,Photographic and optical equipment,China,14137026.0,532330.0
2018-03-01,2018,D7EO,Photographic and optical equipment,Hong Kong,4511973.0,80836.0
2018-03-01,2018,D7EO,Photographic and optical equipment,Japan,3795126.0,13447.0
2018-03-01,2018,D7EO,Photographic and optical equipment,South Korea,1692089.0,15226.0
2018-03-01,2018,D7EO,Photographic and optical equipment,Taiwan,1345942.0,12690.0
2018-04-01,2018,D7EO,Photographic and optical equipment,China,15484015.0,572544.0
2018-04-01,2018,D7EO,Photographic and optical equipment,Hong Kong,3379140.0,62969.0
2018-04-01,2018,D7EO,Photographic and optical equipment,Japan,2612817.0,10189.0
2018-04-01,2018,D7EO,Photographic and optical equipment,South Korea,1192445.0,13817.0
2018-04-01,2018,D7EO,Photographic and optical equipment,Taiwan,1600130.0,11245.0
2018-05-01,2018,D7EO,Photographic and optical equipment,China,19580222.0,675576.0
2018-05-01,2018,D7EO,Photographic and optical equipment,Hong Kong,3796826.0,106779.0
2018-05-01,2018,D7EO,Photographic and optical equipment,Japan,1761429.0,8677.0
2018-05-01,2018,D7EO,Photographic and optical equipment,South Korea,1429617.0,24684.0
2018-05-01,2018,D7EO,Photographic and optical equipment,Taiwan,1381069.0,11486.0
2018-06-01,2018,D7EO,Photographic and optical equipment,China,14520209.0,493045.0
2018-06-01,2018,D7EO,Photographic and optical equipment,Hong Kong,3685363.0,93903.0
2018-06-01,2018,D7EO,Photographic and optical equipment,Japan,2297275.0,6714.0
2018-06-01,2018,D7EO,Photographic and optical equipment,South Korea,1012536.0,13289.0
2018-06-01,2018,D7EO,Photographic and optical equipment,Taiwan,1483688.0,11413.0
2018-07-01,2018,D7EO,Photographic and optical equipment,China,21692987.0,664071.0
2018-07-01,2018,D7EO,Photographic and optical equipment,Hong Kong,5248766.0,89383.0
2018-07-01,2018,D7EO,Photographic and optical equipment,Japan,2358427.0,6121.0
2018-07-01,2018,D7EO,Photographic and optical equipment,South Korea,794941.0,10520.0
2018-07-01,2018,D7EO,Photographic and optical equipment,Taiwan,1426993.0,11521.0
2018-08-01,2018,D7EO,Photographic and optical equipment,China,22925242.0,673913.0
2018-08-01,2018,D7EO,Photographic and optical equipment,Hong Kong,6295190.0,89372.0
2018-08-01,2018,D7EO,Photographic and optical equipment,Japan,1813337.0,4419.0
2018-08-01,2018,D7EO,Photographic and optical equipment,South Korea,1709880.0,18845.0
2018-08-01,2018,D7EO,Photographic and optical equipment,Taiwan,1397163.0,11677.0
2018-09-01,2018,D7EO,Photographic and optical equipment,China,28369138.0,508548.0
2018-09-01,2018,D7EO,Photographic and optical equipment,Hong Kong,6603630.0,79965.0
2018-09-01,2018,D7EO,Photographic and optical equipment,Japan,1841215.0,4154.0
2018-09-01,2018,D7EO,Photographic and optical equipment,South Korea,1132208.0,14427.0
2018-09-01,2018,D7EO,Photographic and optical equipment,Taiwan,1412537.0,15298.0
2018-10-01,2018,D7EO,Photographic and optical equipment,China,27879179.0,811053.0
2018-10-01,2018,D7EO,Photographic and optical equipment,Hong Kong,5250845.0,75036.0
2018-10-01,2018,D7EO,Photographic and optical equipment,Japan,1954105.0,5955.0
2018-10-01,2018,D7EO,Photographic and optical equipment,South Korea,1289294.0,17039.0
2018-10-01,2018,D7EO,Photographic and optical equipment,Taiwan,1686994.0,17229.0
2018-11-01,2018,D7EO,Photographic and optical equipment,China,31964016.0,897365.0
2018-11-01,2018,D7EO,Photographic and optical equipment,Hong Kong,7577046.0,123192.0
2018-11-01,2018,D7EO,Photographic and optical equipment,Japan,3346336.0,20111.0
2018-11-01,2018,D7EO,Photographic and optical equipment,South Korea,895117.0,13213.0
2018-11-01,2018,D7EO,Photographic and optical equipment,Taiwan,1871263.0,26753.0
2018-12-01,2018,D7EO,Photographic and optical equipment,China,24573705.0,637303.0
2018-12-01,2018,D7EO,Photographic and optical equipment,Hong Kong,7928626.0,96261.0
2018-12-01,2018,D7EO,Photographic and optical equipment,Japan,2604681.0,4048.0
2018-12-01,2018,D7EO,Photographic and optical equipment,South Korea,1293773.0,24945.0
2018-12-01,2018,D7EO,Photographic and optical equipment,Taiwan,1243682.0,15196.0
2019-01-01,2019,D7EO,Photographic and optical equipment,China,21421337.0,780230.0
2019-01-01,2019,D7EO,Photographic and optical equipment,Hong Kong,4507476.0,79865.0
2019-01-01,2019,D7EO,Photographic and optical equipment,Japan,1929058.0,4361.0
2019-01-01,2019,D7EO,Photographic and optical equipment,South Korea,1290673.0,25130.0
2019-01-01,2019,D7EO,Photographic and optical equipment,Taiwan,1441241.0,16674.0
2019-02-01,2019,D7EO,Photographic and optical equipment,China,21212457.0,631069.0
2019-02-01,2019,D7EO,Photographic and optical equipment,Hong Kong,3111970.0,49110.0
2019-02-01,2019,D7EO,Photographic and optical equipment,Japan,1660204.0,3643.0
2019-02-01,2019,D7EO,Photographic and optical equipment,South Korea,1009330.0,14573.0
2019-02-01,2019,D7EO,Photographic and optical equipment,Taiwan,997271.0,10547.0
2019-03-01,2019,D7EO,Photographic and optical equipment,China,18153432.0,430023.0
2019-03-01,2019,D7EO,Photographic and optical equipment,Hong Kong,3852740.0,62764.0
2019-03-01,2019,D7EO,Photographic and optical equipment,Japan,3335285.0,8193.0
2019-03-01,2019,D7EO,Photographic and optical equipment,South Korea,1039123.0,11240.0
2019-03-01,2019,D7EO,Photographic and optical equipment,Taiwan,1107199.0,6068.0
2019-04-01,2019,D7EO,Photographic and optical equipment,China,16844027.0,566909.0
2019-04-01,2019,D7EO,Photographic and optical equipment,Hong Kong,5565074.0,106006.0
2019-04-01,2019,D7EO,Photographic and optical equipment,Japan,3518044.0,12266.0
2019-04-01,2019,D7EO,Photographic and optical equipment,South Korea,1499894.0,14103.0
2019-04-01,2019,D7EO,Photographic and optical equipment,Taiwan,1255427.0,13157.0
2019-05-01,2019,D7EO,Photographic and optical equipment,China,22204092.0,532549.0
2019-05-01,2019,D7EO,Photographic and optical equipment,Hong Kong,4940997.0,86931.0
2019-05-01,2019,D7EO,Photographic and optical equipment,Japan,2214164.0,6576.0
2019-05-01,2019,D7EO,Photographic and optical equipment,South Korea,1324427.0,14837.0
2019-05-01,2019,D7EO,Photographic and optical equipment,Taiwan,2007063.0,14143.0
2019-06-01,2019,D7EO,Photographic and optical equipment,China,21086179.0,618360.0
2019-06-01,2019,D7EO,Photographic and optical equipment,Hong Kong,2860186.0,77304.0
2019-06-01,2019,D7EO,Photographic and optical equipment,Japan,2289716.0,4576.0
2019-06-01,2019,D7EO,Photographic and optical equipment,South Korea,976357.0,16450.0
2019-06-01,2019,D7EO,Photographic and optical equipment,Taiwan,1026802.0,8502.0
