channel,outcome,impulse,horizon,n_baseline,response_pp_per_one_sd_baseline,response_pp_per_one_unit_baseline,standard_error_baseline,lower_90_baseline,upper_90_baseline,p_value_baseline,fdr_q_baseline,n_covid_dummy,response_pp_per_one_sd_covid_dummy,response_pp_per_one_unit_covid_dummy,standard_error_covid_dummy,lower_90_covid_dummy,upper_90_covid_dummy,p_value_covid_dummy,fdr_q_covid_dummy,delta_n,delta_response_pp_per_one_sd,delta_response_pp_per_one_unit,delta_standard_error,delta_lower_90,delta_upper_90,delta_p_value,delta_fdr_q
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,5,152,9.923702234352636,9.923702234352636,2.9858477764964935,5.011982642015906,14.83542182668937,0.0008887011210016,0.0013330516815024,152,9.635651155103476,9.635651155103476,2.9439410725272332,4.792868090796177,14.478434219410776,0.0010639559501655204,0.0015959339252482807,0,-0.2880510792491595,-0.2880510792491595,-0.04190670396926022,-0.21911455121972878,-0.3569876072785938,0.00017525482916392037,0.0002628822437458808
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,6,151,12.312700289564813,12.312700289564813,3.2958393133360513,6.891044619127008,17.734355960002617,0.0001870959322899,0.0003207358839255,151,11.98121488577643,11.98121488577643,3.28153967523359,6.583082120017174,17.379347651535685,0.0002611240686245868,0.00044764126049929166,0,-0.331485403788383,-0.331485403788383,-0.014299638102461376,-0.3079624991098342,-0.35500830846693177,7.40281363346868e-05,0.00012690537657379165
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,7,150,13.336253446513776,13.336253446513776,3.461901155655944,7.641426045459749,19.031080847567804,0.0001170174579661,0.0002340349159323,150,12.691527946234341,12.691527946234341,3.34268203947304,7.192815991301191,18.19023990116749,0.00014657015573374372,0.00029314031146748744,0,-0.644725500279435,-0.644725500279435,-0.11921911618290393,-0.44861005415855804,-0.8408409464003128,2.9552697767643718e-05,5.9105395535187445e-05
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,8,149,14.9571055592097,14.9571055592097,3.308993043811946,9.513812002139048,20.40039911628035,6.179930205089085e-06,1.4831832492213804e-05,149,14.0530045535382,14.0530045535382,3.0852296770445538,8.977801734799908,19.128207372276492,5.2403079013538465e-06,1.257673896324923e-05,0,-0.9041010056714995,-0.9041010056714995,-0.2237633667673924,-0.5360102673391403,-1.2721917440038588,-9.396223037352386e-07,-2.2550935289645732e-06
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,9,148,15.254936659733357,15.254936659733357,3.272658341257044,9.871413688365518,20.638459631101195,3.1417430573526153e-06,9.425229172057848e-06,148,14.026539235279621,14.026539235279621,2.8969559645039538,9.261046673670617,18.792031796888626,1.2865530279648542e-06,3.859659083894563e-06,0,-1.2283974244537355,-1.2283974244537355,-0.37570237675309004,-0.6103670146949014,-1.8464278342125695,-1.855190029387761e-06,-5.5655700881632855e-06
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,10,148,16.438350031469934,16.438350031469934,3.007063065215376,11.49173128919064,21.38496877374923,4.588020793637554e-08,2.7528124761825325e-07,148,15.090305104968335,15.090305104968335,2.5834591042859505,10.840514878417947,19.340095331518725,5.1849776427409484e-09,3.110986585644569e-08,0,-1.3480449265015988,-1.3480449265015988,-0.4236039609294253,-0.6512164107726921,-2.0448734422305037,-4.0695230293634594e-08,-2.4417138176180754e-07
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,11,147,15.233116667868808,15.233116667868808,2.7199403715027413,10.758814756746798,19.70741857899082,2.1369333101003032e-08,2.564319972120364e-07,147,13.673225711476489,13.673225711476489,2.2359409964114914,9.995102772379585,17.351348650573392,9.64361214840504e-10,1.1572334578086048e-08,0,-1.5598909563923193,-1.5598909563923193,-0.4839993750912499,-0.7637119843672124,-2.3560699284174262,-2.0404971886162528e-08,-2.4485966263395035e-07
asia_to_cpi,historical_targeted_hardware_12m_pct,asia_bls_common_factor_z,12,146,14.198952364566622,14.198952364566622,2.9707243010206463,9.31211088938766,19.085793839745584,1.7562121214689806e-06,7.024848485875922e-06,146,12.444090007089446,12.444090007089446,2.367447506134516,8.549638859498167,16.338541154680726,1.4695692207284493e-07,5.878276882913797e-07,0,-1.754862357477176,-1.754862357477176,-0.6032767948861304,-0.7624720298894925,-2.7472526850648578,-1.6092551993961357e-06,-6.437020797584543e-06
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,1,156,-0.2306628295622983,-0.0430064664146005,0.1778136800490207,-0.5231663332429374,0.0618406741183407,0.1945567246191017,0.1945567246191017,156,-0.20789755531432125,-0.03876194204011578,0.1855936680729726,-0.5131991392943611,0.09740402866571868,0.26263880911150395,0.26263880911150395,0,0.022765274247977058,0.0042445243744847205,0.007779988023951884,0.009967193948576258,0.03556335454737798,0.06808208449240225,0.06808208449240225
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,2,155,-0.5358081363921027,-0.0998999911088538,0.2907879005302708,-1.0141542327643982,-0.0574620400198072,0.0653862526929896,0.0938700571342484,155,-0.5270758802298351,-0.09827188534912272,0.29328663547474093,-1.009532395585784,-0.044619364873886236,0.07231408086051504,0.08677689703261804,0,0.008732256162267582,0.0016281057597310744,0.0024987349444701157,0.0046218371786141965,0.012842675145920968,0.006927828167525435,-0.007093160101630358
