channel,outcome,impulse,horizon,n,impulse_standard_deviation,response_pp_per_one_sd,response_pp_per_one_unit,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,2,154,4.736937487066577,0.407231973506345,0.08596946331215569,0.3707605391660126,-0.20266911342174576,1.0171330604344357,0.2720432862635843,0.8146126275134971,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,3,153,4.736937487066577,0.48907247978715596,0.10324655563272418,0.532870315723453,-0.3874991895779243,1.3656441491522362,0.3587195494300821,0.7332676829498661,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,4,152,4.736937487066577,0.5716025241033849,0.12066921416295885,0.6524043914950912,-0.5016026999060401,1.6448077481128098,0.38094981338662537,0.6789387746879479,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,5,151,4.736937487066577,0.2096106153994239,0.04425023888783227,0.8022103625077723,-1.1100254309258615,1.5292466617247094,0.7938678493307315,0.6231322664068591,0.8660376538153435
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,6,150,4.736937487066577,-0.11308185242844893,-0.023872354815152236,0.8260136136458569,-1.4718742468758836,1.2457105420189858,0.8911092754685986,0.5910746957515518,0.8911092754685986
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,7,149,4.736937487066577,-0.386144154314575,-0.08151768001348501,0.8687423222907994,-1.81522527448294,1.0429369658537901,0.6566909535870834,0.5655118250658651,0.7880291443045
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,8,148,4.736937487066577,-0.5610378997164082,-0.11843894947911583,0.9158081526436892,-2.067542310815277,0.9454665113824606,0.5401308738710007,0.5392756218621768,0.7201744984946675
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,9,148,4.736937487066577,-0.9922881789462772,-0.20947884190060684,0.9486270388696066,-2.55277965788678,0.5682032999942257,0.2955492075735434,0.5045899273625243,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,10,147,4.736937487066577,-1.1535140308467307,-0.24351472528320453,1.0258041036647438,-2.8409617813752344,0.5339337196817731,0.260802079767112,0.49068595030306716,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,11,146,4.736937487066577,-1.4604604351674388,-0.3083132169582107,1.098832448888627,-3.26803981358923,0.34711894325435244,0.1838143116346982,0.4442676532248726,0.571424720079938
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,12,145,4.736937487066577,-1.650119281931107,-0.34835150061331493,1.126022310344459,-3.5024259824477424,0.20218741858552813,0.14280063309069596,0.36721892928633315,0.571424720079938
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,1,155,1.0,2.390576241396479,2.390576241396479,0.8075042591415373,1.06223173510865,3.718920747684308,0.003071896626658987,0.8673563798124151,0.003071896626658987
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,2,154,1.0,3.9842701464323307,3.9842701464323307,1.3049143421025815,1.837686053673584,6.130854239191077,0.0022635388389213936,0.7988359965870978,0.0024693150970051566
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,3,153,1.0,6.473114318304647,6.473114318304647,1.971926726496009,3.2292948532187125,9.716933783390582,0.0010284198347864668,0.7106032486666777,0.0013085298305627235
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,4,152,1.0,8.386420580330903,8.386420580330903,2.567726043392518,4.16251123895021,12.610329921711596,0.0010904415254689363,0.6525668854118792,0.0013085298305627235
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,5,151,1.0,10.307687255812429,10.307687255812429,2.87758815579955,5.574054739522169,15.041319772102689,0.0003408982702572794,0.5940991186052241,0.0005113474053859192
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,6,150,1.0,12.432459262123261,12.432459262123261,3.0703721378388193,7.381697095378404,17.48322142886812,5.139956243369694e-05,0.5637399457745387,8.811353560062332e-05
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,7,149,1.0,13.327982933071874,13.327982933071874,3.2433738715554283,7.9926329143631945,18.663332951780554,3.968673031277262e-05,0.534290144589078,7.937346062554523e-05
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,8,148,1.0,14.79125250353341,14.79125250353341,3.1926621305615863,9.539323298759601,20.04318170830722,3.6059613618289613e-06,0.49651529175821596,1.1210604072300793e-05
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,9,148,1.0,14.85532925487661,14.85532925487661,3.2239605185493683,9.5519142018629,20.15874430789032,4.069736719971537e-06,0.4552699675491413,1.1210604072300793e-05
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,10,147,1.0,15.76579132644893,15.76579132644893,3.0546394722191565,10.740909394648417,20.79067325824944,2.452920157552449e-07,0.4390351354940166,1.520282992092633e-06
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,11,146,1.0,14.315909960649748,14.315909960649748,2.7769924172106726,9.74775743433819,18.884062486961305,2.533804986821055e-07,0.40057577218174756,1.520282992092633e-06
asia_to_cpi,historical_ex_games_12m_pct,asia_bls_common_factor_z,12,145,1.0,13.420107846563598,13.420107846563598,2.9307670358058484,8.598996072662977,18.241219620464218,4.6710850301253306e-06,0.32381748829165935,1.1210604072300793e-05
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,1,155,5.36947166913863,-0.18536342502538874,-0.03452172512442453,0.17498566984961228,-0.47321485192800095,0.10248800187722348,0.2894603001107926,0.8682759607953733,0.2894603001107926
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,2,154,5.36947166913863,-0.40693905061320534,-0.07578754031837298,0.2878583888377445,-0.880466100251295,0.06658799902488438,0.15745648893792352,0.8032688366107861,0.18894778672550822
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,3,153,5.36947166913863,-0.6238803593057028,-0.1161902693129929,0.43430901935272476,-1.3383186961409352,0.09055797752952943,0.15086309334534098,0.7210525607400817,0.18894778672550822
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,4,152,5.36947166913863,-0.7048326136645833,-0.13126666031513906,0.5492186308079905,-1.6082972613437276,0.1986320340145611,0.19937402012600458,0.6658577965871255,0.21749893104655046
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,5,151,5.36947166913863,-0.9656380987412947,-0.17983856853018879,0.6268072897345066,-1.9967360903545581,0.06545989287196874,0.12342240946122862,0.6190816446330474,0.18513361419184293
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,6,150,5.36947166913863,-1.2368642089224702,-0.23035119377413307,0.6204158803966232,-2.2574483321749153,-0.21628008567002488,0.046195237170525025,0.604654088939888,0.07919183514947147
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,7,149,5.36947166913863,-1.486403866058967,-0.2768249760217872,0.6710829413446502,-2.5903353045709165,-0.38247242754701727,0.026764652018195195,0.5933741854878358,0.05352930403639039
