date,historical_targeted_hardware_index,historical_targeted_hardware_1m_pct,historical_targeted_hardware_3m_annualised_pct,historical_targeted_hardware_12m_pct,historical_ex_games_index,historical_ex_games_1m_pct,historical_ex_games_3m_annualised_pct,historical_ex_games_12m_pct
2013-04-01,121.92732701722922,-0.7608472143876721,-3.7675539471158426,-9.360313812200927,120.27050052416347,-1.2048642588276648,1.827239375011569,-6.111774895480293
2013-05-01,121.4970856206831,-0.3528670783419452,-3.782529888853392,-8.21460789979861,119.31774349445264,-0.7921784856290692,-3.2644763396194154,-5.416278518324901
2013-06-01,121.1311439077767,-0.30119381961873914,-5.517526533675909,-8.542741565318979,118.53385867643523,-0.6569725466303855,-10.117433408331799,-6.283193605952675
2013-07-01,118.55088258806508,-2.1301386550729773,-10.625226466039239,-9.488956310626905,116.19937912385956,-1.9694622099059145,-12.867784539351867,-7.010754271296538
2013-08-01,118.72407446760222,0.14609075508862368,-8.821650060261154,-8.05371360626056,114.66319315006983,-1.3220259741252738,-14.714342592023687,-6.083359031500491
2013-09-01,120.37789656836856,1.392996414739489,-2.464272545754731,-7.837723246049344,116.6127107363028,1.7002121889990063,-6.327119739162191,-6.0205279974245745
2013-10-01,119.83208946459439,-0.4534113980502852,4.393476766284321,-7.361729994352184,117.88279746773877,1.0891494790032041,5.922080835708132,-4.9298722255415655
2013-11-01,119.67205619550774,-0.133547925102262,3.232356653224966,-5.543978379534675,117.43038990226444,-0.38377742570805395,10.008409058013367,-2.978087750331093
2013-12-01,117.59315490298046,-1.7371651817622236,-8.937164900576168,-7.043492870116708,116.86791393300317,-0.47898671692175876,0.8782650676776971,-4.086988659473256
2014-01-01,116.19696011119478,-1.1873095784678989,-11.593023593115948,-5.610411086060873,112.91927353762175,-3.3787206962939798,-15.808050129059037,-5.686263806086311
2014-02-01,117.00166270262258,0.6925332561692921,-8.6313681921935,-4.623878795656244,114.75063683941345,1.6218341160169958,-8.82024806101871,-4.622360542707171
2014-03-01,116.94991360887074,-0.04422936611025996,-2.170135378996585,-4.812066098563184,114.93072260415643,0.1569366146481732,-6.467319478877287,-5.591177462278751
2014-04-01,116.0950346661118,-0.7309786868402668,-0.3504099013265205,-4.783416887580316,114.56568228411142,-0.31761770201539363,5.960959316450176,-4.743322938866379
2014-05-01,115.91535884590664,-0.1547661540581058,-3.66240461025954,-4.594124004095656,114.97832833280454,0.36018294524691186,0.7960568569825632,-3.636856543343747
2014-06-01,115.43973817198085,-0.4103172165114577,-5.066015107859901,-4.69854865741961,115.00590033993915,0.023980177425086957,0.2619022256370229,-2.9763296123907046
2014-07-01,113.63198387851737,-1.5659722744435722,-8.220059074731779,-4.149187759858064,112.39807601638003,-2.267556982598984,-7.355994109400566,-3.271362666600508
