target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts_baseline,rmse_baseline,benchmark_rmse_baseline,rmse_ratio_baseline,clark_west_one_sided_p_baseline,clark_west_fdr_q_baseline,n_forecasts_covid_dummy,rmse_covid_dummy,benchmark_rmse_covid_dummy,rmse_ratio_covid_dummy,clark_west_one_sided_p_covid_dummy,clark_west_fdr_q_covid_dummy,delta_n_forecasts,delta_rmse,delta_benchmark_rmse,delta_rmse_ratio,delta_clark_west_one_sided_p,delta_clark_west_fdr_q
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m1_oecd_weighted,m0_controls,34,1.7052072219762022,1.734945021241732,0.9828595149117488,0.0465558637193964,0.0465558637193964,34,1.6976947016633985,1.7359347813131927,0.9779714767735304,0.04565961346317843,0.04565961346317843,0,-0.007512520312803694,0.0009897600714605659,-0.004888038138218476,-0.0008962502562179717,-0.0008962502562179717
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m2_asia_factor,m0_controls,34,1.723495326681857,1.734945021241732,0.9934005432911756,0.1868688443736684,0.1868688443736684,34,1.7299016022380362,1.7359347813131927,0.9965245358638459,0.1877927194836592,0.1877927194836592,0,0.006406275556179342,0.0009897600714605659,0.0031239925726703754,0.0009238751099907849,0.0009238751099907849
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m3_asia_ridge,m0_controls,34,1.7506568777645972,1.734945021241732,1.0090561120557124,0.1704901139907118,0.1704901139907118,34,1.7483109115088553,1.7359347813131927,1.0071293750945531,0.15817009605635055,0.15817009605635055,0,-0.0023459662557419048,0.0009897600714605659,-0.0019267369611593033,-0.012320017934361244,-0.012320017934361244
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m3_asia_ridge,m0_ridge_controls,34,1.7506568777645972,1.7237380073076485,1.0156165672177724,0.1883327328483643,0.1883327328483643,34,1.7483109115088553,1.7043906173635974,1.0257689133569599,0.08139141298546922,0.08139141298546922,0,-0.0023459662557419048,-0.019347389944051052,0.010152346139187474,-0.10694131986289508,-0.10694131986289508
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,post_2022,m2_asia_factor,m1_oecd_weighted,34,1.723495326681857,1.7052072219762022,1.0107248576419117,0.6627867740970681,0.6627867740970681,34,1.7299016022380362,1.6976947016633985,1.018970961353111,0.5156716034363003,0.5156716034363003,0,0.006406275556179342,-0.007512520312803694,0.008246103711199382,-0.14711517066076785,-0.14711517066076785
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m0_ridge_controls,m0_controls,76,2.0792409193138175,2.042730699291987,1.0178732419474017,0.4632663772271445,0.4632663772271445,76,2.0720933708076026,2.043106842941595,1.0141874752982931,0.2641062743555317,0.2641062743555317,0,-0.007147548506214907,0.00037614364960791846,-0.0036857666491085794,-0.1991601028716128,-0.1991601028716128
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m4_asia_ols,m0_controls,76,2.250525363168292,2.042730699291987,1.101723963882428,0.0038474844228384,0.0038474844228384,76,2.249475760640822,2.043106842941595,1.10100740370587,0.003609457666865669,0.003609457666865669,0,-0.001049602527469773,0.00037614364960791846,-0.0007165601765581897,-0.00023802675597273115,-0.00023802675597273115
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m1_oecd_weighted,m0_controls,76,2.037462067677103,2.042730699291987,0.9974207899177752,0.0186727638709536,0.0186727638709536,76,2.0346535295867363,2.043106842941595,0.995862520169191,0.013777231103295763,0.013777231103295763,0,-0.002808538090366852,0.00037614364960791846,-0.0015582697485841956,-0.004895532767657836,-0.004895532767657836
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m2_asia_factor,m0_controls,76,2.029525675962134,2.042730699291987,0.9935356024490012,0.025453768798971,0.025453768798971,76,2.0319625452829095,2.043106842941595,0.9945454161160557,0.02331034250069931,0.02331034250069931,0,0.002436869320775692,0.00037614364960791846,0.0010098136670545488,-0.002143426298271689,-0.002143426298271689
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m3_asia_ridge,m0_controls,76,2.02562941976527,2.042730699291987,0.9916282261128966,0.0119734654464106,0.0119734654464106,76,2.024722781090402,2.043106842941595,0.9910019087280211,0.011789416459917388,0.011789416459917388,0,-0.0009066386748681765,0.00037614364960791846,-0.0006263173848755077,-0.00018404898649321266,-0.00018404898649321266
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m3_asia_ridge,m0_ridge_controls,76,2.02562941976527,2.0792409193138175,0.9742158308589656,0.0104102088852661,0.0104102088852661,76,2.024722781090402,2.0720933708076026,0.9771387764737948,0.009807257089346351,0.009807257089346351,0,-0.0009066386748681765,-0.007147548506214907,0.0029229456148291977,-0.0006029517959197494,-0.0006029517959197494
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,ex_pandemic,m2_asia_factor,m1_oecd_weighted,76,2.029525675962134,2.037462067677103,0.9961047659041734,0.2180331858550374,0.2180331858550374,76,2.0319625452829095,2.0346535295867363,0.9986774238145728,0.2088084557165178,0.2088084557165178,0,0.002436869320775692,-0.002808538090366852,0.0025726579103994007,-0.009224730138519599,-0.009224730138519599
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m0_ridge_controls,m0_controls,111,3.222664683170472,3.2773982600674247,0.9832996869608924,0.0968784888312977,0.0968784888312977,111,3.3323686341956127,3.385166234143217,0.9844032474934078,0.08756527272723572,0.08756527272723572,0,0.10970395102514052,0.10776797407579242,0.0011035605325153686,-0.00931321610406198,-0.00931321610406198
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m4_asia_ols,m0_controls,111,3.477322324584688,3.2773982600674247,1.0610008453818949,0.0258681137155525,0.0258681137155525,111,3.525377013523703,3.385166234143217,1.041419171078307,0.02064026903818009,0.02064026903818009,0,0.04805468893901477,0.10776797407579242,-0.019581674303587926,-0.0052278446773724105,-0.0052278446773724105
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m1_oecd_weighted,m0_controls,111,3.301578379587641,3.2773982600674247,1.0073778398599988,0.1588638423015606,0.1588638423015606,111,3.3790523953446074,3.385166234143217,0.9981939324760644,0.09218305790856371,0.09218305790856371,0,0.07747401575696644,0.10776797407579242,-0.009183907383934486,-0.06668078439299688,-0.06668078439299688
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m2_asia_factor,m0_controls,111,3.317492790617695,3.2773982600674247,1.0122336461329071,0.1291633596250245,0.1291633596250245,111,3.39276846257628,3.385166234143217,1.0022457474484963,0.10642148765384372,0.10642148765384372,0,0.0752756719585852,0.10776797407579242,-0.009987898684410856,-0.022741871971180785,-0.022741871971180785
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m3_asia_ridge,m0_controls,111,3.328639329910704,3.2773982600674247,1.0156346790280608,0.0068818481342257,0.0068818481342257,111,3.421545929979898,3.385166234143217,1.010746797445204,0.00514861131406516,0.00514861131406516,0,0.09290660006919405,0.10776797407579242,-0.004887881582856801,-0.0017332368201605402,-0.0017332368201605402
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m3_asia_ridge,m0_ridge_controls,111,3.328639329910704,3.222664683170472,1.032884167966235,0.0282779137090147,0.0282779137090147,111,3.421545929979898,3.3323686341956127,1.026760933610159,0.02487441216407856,0.02487441216407856,0,0.09290660006919405,0.10970395102514052,-0.0061232343560759794,-0.003403501544936141,-0.003403501544936141
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,full,m2_asia_factor,m1_oecd_weighted,111,3.317492790617695,3.301578379587641,1.0048202432898297,0.2850942126984777,0.2850942126984777,111,3.39276846257628,3.3790523953446074,1.0040591460643136,0.25389330159249734,0.25389330159249734,0,0.0752756719585852,0.07747401575696644,-0.0007610972255160942,-0.031200911105980333,-0.031200911105980333
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,pre_2020,m0_ridge_controls,m0_controls,40,3.443293671546682,3.4954307828843545,0.9850842100513144,0.2297119781023984,0.2297119781023984,40,3.4432936715466815,3.495430782884355,0.9850842100513142,0.2297119781023979,0.2297119781023979,0,-4.440892098500626e-16,4.440892098500626e-16,-2.220446049250313e-16,-4.996003610813204e-16,-4.996003610813204e-16
uk_ipi_c26_12m_pct,asia_to_import,2,expanding_ar2_min36,pre_2020,m4_asia_ols,m0_controls,40,3.600867995385864,3.4954307828843545,1.0301642970639815,0.0223930128634532,0.0223930128634532,40,3.600867995385861,3.495430782884355,1.0301642970639806,0.022393012863453257,0.022393012863453257,0,-3.1086244689504383e-15,4.440892098500626e-16,-8.881784197001252e-16,5.551115123125783e-17,5.551115123125783e-17
