origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,1,1.9458066458473393,1.2552987347183944,-0.6905079111289449,0.16099887063293453,-0.9579303067842381,-0.430910832076922,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,2,1.9677764526253303,1.2181943051598831,-0.7495821474654472,0.33237487243548297,-1.364607249918293,-0.24516764240403927,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,3,1.9310955291408245,1.2314701543725906,-0.6996253747682339,0.49454859259682965,-1.6149648048820568,0.015043024496115774,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,4,1.919679979336526,1.2958444046460407,-0.6238355746904853,0.6604324024788147,-1.8376856171937999,0.301019634262796,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,5,1.9563452857904586,1.4048219050067694,-0.5515233807836892,0.8339856822655375,-2.084043138254229,0.6050738195985806,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,6,2.040918251713931,1.5529117458677986,-0.4880065058461325,1.0191109952517956,-2.3583339872741935,0.8998535705262464,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,7,2.1655747085072092,1.7458025139149373,-0.4197721945922719,1.2164839020629814,-2.6496605817504335,1.2023483281995673,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,8,2.320849298015987,1.9646900311151836,-0.35615926690080335,1.4288592991918774,-2.9948076148678946,1.522527142188478,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,9,2.4978526587142658,2.207973315302578,-0.289879343411688,1.6580555133663066,-3.3778517484715147,1.8605539930121178,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,10,2.6889678554122125,2.4726001611909485,-0.216367694221264,1.9048927744566049,-3.800611384341394,2.1950022782335283,statsmodels_ardl_ar2_factor_lags_0_2,155
