origin,scenario,scenario_label,target,target_label,target_group,horizon,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,3,2.4760474344053733,0.6223456628671559,1.4522888189889018,3.499806049821845
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,4,3.67321231292573,0.7405939502082058,2.4549352648332317,4.891489361018229
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,5,4.923513507340698,0.8946336598762721,3.4518411368442306,6.395185877837166
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,6,6.403485796755383,0.9757611996203557,4.798358623379898,8.00861297013087
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,7,7.9772275148841265,1.091433535635665,6.181819348763458,9.772635681004795
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,8,9.401909160816647,1.2202728149619138,7.3945603802042985,11.409257941428995
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,9,11.073354775695725,1.3233082778068443,8.896512658703465,13.250196892687985
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,10,12.523283957815726,1.366559661967342,10.275293313879448,14.771274601752005
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,11,13.940498569465127,1.4892125580136957,11.490743911532597,16.390253227397658
2026-06-01,intensifying,Intensifying pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,12,14.907535879692626,1.5664951063798023,12.33065142969785,17.4844203296874
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,0,1.256621672550108,0.29840407992845064,0.7657469610678067,1.7474963840324094
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,1,1.3899770073302646,0.51780757239343,0.5381835507430722,2.241770463917457
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,2,1.8585644371451824,0.6383675551870133,0.8084498088625456,2.908679065427819
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,3,2.385220142368901,0.9868291119472637,0.7618862532156521,4.00855403152215
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,4,2.574084493690054,1.2933996225912812,0.4464421145273967,4.701726872852712
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,5,2.6649635084682517,1.733740561275661,-0.18703971483021054,5.516966731766714
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,6,3.1429379456155964,2.0131434339778487,-0.1686830032779647,6.454558894509157
