method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_18,search_max_lead,n,ar_lags
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,3,-0.19554307108877952,-0.2120246029300738,0.1111111111111111,1.0,18,56,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,4,0.023087251826601894,0.23333033188731742,0.16666666666666666,0.8888888888888888,18,55,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,5,0.06967315449805346,0.026091913061640593,0.8888888888888888,1.0,18,54,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,6,-0.318943928058826,-0.4430073806064592,0.05555555555555555,0.05555555555555555,18,53,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,7,-0.29615912952773954,-0.21787378289257944,0.1111111111111111,1.0,18,52,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,8,0.0989596521616971,0.1494649884421283,0.16666666666666666,1.0,18,51,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,9,-0.05220211129882793,-0.014417494367005639,1.0,1.0,18,50,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,10,-0.08192265656024762,0.034470518405701006,0.8333333333333334,1.0,18,49,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,11,0.12254500154524478,0.12024995135769403,0.3888888888888889,1.0,18,48,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,12,0.024434751883764743,0.01800031762728664,0.9444444444444444,1.0,18,47,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,13,-0.0023850638815808307,-0.06023811061223931,0.7777777777777778,1.0,18,46,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,14,-0.11649208107741825,-0.06440814549553958,0.7777777777777778,1.0,18,45,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,15,0.06888481801661679,0.0207726693832091,0.8888888888888888,1.0,18,44,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,16,-0.1027181683918781,-0.08021043812600143,0.7222222222222222,1.0,18,43,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,17,0.007587763941642251,0.0038126443373609153,0.9444444444444444,1.0,18,42,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,18,0.011602461039156586,0.011602461039156586,0.8888888888888888,1.0,18,41,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,0,-0.08794323719938785,-0.2893851543624008,1.0,1.0,18,33,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,1,0.24677093504542824,0.027825244602013362,1.0,1.0,18,32,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,2,0.08587961198682795,0.38748666272629523,0.5,1.0,18,31,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,3,-0.3112410352513888,-0.18117758460406908,0.5,1.0,18,30,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,4,0.2989513814461382,0.22846479824153093,0.5,1.0,18,29,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,5,0.0031163202070168656,-0.01267435403325832,1.0,1.0,18,28,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,6,-0.3047640133635466,-0.36311122985844096,0.5,1.0,18,27,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,7,-0.26183157430647946,-0.4323588783042522,0.5,1.0,18,26,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,8,0.1408139930415719,0.0441413768874575,0.5,1.0,18,25,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,9,-0.1291148158445169,-0.16833786277574855,1.0,1.0,18,24,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,10,0.30181503172411756,0.23815548847804416,1.0,1.0,18,23,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,11,0.15146214669933147,0.08224784223268475,1.0,1.0,18,22,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,12,0.1643851579117544,0.3517329442870942,0.5,1.0,18,21,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,13,-0.23072261167541638,-0.2429396695194298,1.0,1.0,18,20,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,14,-0.0401887016067478,-0.17429378596661144,0.5,1.0,18,19,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,15,0.1059359924963283,0.13792177653896676,1.0,1.0,18,18,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,16,-0.37647502790948045,-0.2979927774767317,1.0,1.0,18,17,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,17,-0.06758202738870345,-0.023001224369000976,1.0,1.0,18,16,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,18,0.05152357669947046,0.05152357669947046,1.0,1.0,18,15,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,0,0.046608802082845915,-0.2617522485551972,1.0,1.0,18,26,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,1,-0.036424672245708924,-0.3988301195864557,1.0,1.0,18,25,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,2,-0.20572709331348624,-0.5904158621966462,0.5,1.0,18,24,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,3,-0.014024700245337326,0.14967402325735824,0.5,1.0,18,23,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,4,-0.09259195195805345,0.34833824503219796,1.0,1.0,18,22,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,5,0.4070824242170425,0.43792966576265346,1.0,1.0,18,21,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,6,-0.07784918055888092,-0.8307584907358372,0.5,0.5,18,20,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,7,-0.3835351860712457,-0.20759951992154319,0.5,1.0,18,19,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,8,0.2108106075250491,0.3965936344528617,0.5,1.0,18,18,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,9,-0.01992004610056514,-0.04712202806350589,1.0,1.0,18,17,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,10,-0.2576459823496892,0.2761312424215214,1.0,1.0,18,16,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,11,0.1777774893603347,0.07125331160397944,1.0,1.0,18,15,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,12,-0.05675814738525605,-0.2577904595209652,1.0,1.0,18,14,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,13,0.26914511443247935,-0.06536570681620064,1.0,1.0,18,13,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,14,-0.19328810351682257,0.03157289038900075,1.0,1.0,18,12,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,15,0.3147260125795921,0.08489028805231183,1.0,1.0,18,11,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,16,0.33401748076106624,0.6103125526615218,0.5,1.0,18,10,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,17,0.3903020516363136,0.4050870588030442,0.5,1.0,18,9,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,post_2022,18,-0.18274675083046468,-0.18274675083046468,0.5,1.0,18,8,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,0,0.009758921095070183,-0.12070453831827685,0.4,1.0,18,46,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,1,0.19854709045698934,0.14943621218958772,0.2,1.0,18,45,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,2,-0.222831746733543,-0.2496154557679512,0.2,1.0,18,44,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,3,-0.06569312222549831,-0.13264611845858587,0.4,1.0,18,43,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,4,-0.10041892161621087,-0.05977855313471725,0.6,1.0,18,42,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,5,-0.018834164912962012,-0.0044600173871045135,1.0,1.0,18,41,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,6,-0.2818884423083916,-0.5357270792721336,0.2,0.2,18,40,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,7,0.06005511643833613,0.025867478547907934,1.0,1.0,18,39,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,8,0.09493736084208608,0.012852632229300772,1.0,1.0,18,38,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,9,0.3428083845693694,0.364792749963215,0.2,0.4,18,37,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,10,0.28362560161400224,0.2711825906838016,0.2,1.0,18,36,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,11,-0.029542785906903193,-0.017872316849048494,1.0,1.0,18,35,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,12,0.3973855562429371,0.3798680367508845,0.2,0.4,18,34,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,13,0.21764436186911013,0.21604829566306927,0.4,1.0,18,33,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,14,-0.007936221131664369,-0.021897070271690126,0.8,1.0,18,32,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,15,0.3323015188247793,0.3062177637975309,0.2,1.0,18,31,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,16,-0.03488396888155881,-0.05431150138889021,0.8,1.0,18,30,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,17,0.02685496257385951,0.028692934299710288,1.0,1.0,18,29,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,full,18,0.08719758931609706,0.08719758931609706,0.6,1.0,18,28,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,0,-0.08220168573272836,-0.30089686126405324,1.0,1.0,18,36,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,1,0.08317951959508435,-0.02915186584707712,0.5,1.0,18,35,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,2,-0.20681843939619535,-0.2259242861590985,0.5,1.0,18,34,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,3,0.04210125663278678,0.012755719123265745,1.0,1.0,18,33,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,4,-0.11715948954231105,-0.03587471795025638,1.0,1.0,18,32,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,5,0.08395706657579319,0.20335397881167908,0.5,1.0,18,31,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,6,-0.2424878585630641,-0.5997162164251284,0.5,0.5,18,30,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,7,0.1807946544147507,0.2391212446728816,0.5,1.0,18,29,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,8,0.011470987786304438,-0.0944079406677982,1.0,1.0,18,28,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,9,0.27572491605346794,0.3406057607189285,0.5,1.0,18,27,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,10,0.3220497705904166,0.35787847453081767,0.5,1.0,18,26,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,11,-0.22926463382056728,-0.20424996818178656,1.0,1.0,18,25,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,12,0.45476378387372896,0.4647677992795371,0.5,1.0,18,24,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,13,-0.07261250521844634,-0.06696042600816826,1.0,1.0,18,23,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,14,-0.07214334590838022,-0.07078986423728854,1.0,1.0,18,22,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,15,0.2173758669695476,0.17870798524694367,1.0,1.0,18,21,12
prewhitened_ar,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,post_2022,16,-0.23273945523332787,-0.2750810260198998,0.5,1.0,18,20,12
