outcome,horizon,n,response_pp_per_innovation_sd,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
uk_ipi_c262_12m_pct,7,139,-0.05794148735545809,2.521138659899365,-4.205214582889913,4.089331608178997,0.9816644163484363,0.1620826462832513,0.9816644163484363
uk_ipi_c262_12m_pct,8,138,-1.304118101339765,2.979064363077712,-6.204678978602601,3.5964427759230713,0.6615595677252515,0.1625048845373469,0.781843125493479
uk_ipi_c262_12m_pct,9,137,-2.543016141559007,3.218371946180249,-7.837237993025517,2.751205709907503,0.4294366255701957,0.171032804191114,0.6202973480458382
uk_ipi_c262_12m_pct,10,136,-4.4164764333154185,3.7318883593480474,-10.555432784442957,1.7224799178121195,0.2366337007748074,0.21843600115813766,0.43946258715321374
uk_ipi_c262_12m_pct,11,135,-5.2214643853757,3.871867642911813,-11.590686657965634,1.1477578872142322,0.17747679562367213,0.20830426335963526,0.38453305718462294
uk_ipi_c262_12m_pct,12,134,-6.830298006462559,4.064676512041639,-13.516690868771056,-0.14390514415406308,0.09287877004314457,0.22841857890135908,0.294709196026186
historical_targeted_hardware_12m_pct,0,152,0.5277715494774471,0.261159384039514,0.09816436273244655,0.9573787362224476,0.04329227855103312,0.8760795113523515,0.04689996843028588
historical_targeted_hardware_12m_pct,1,151,0.8474660242823443,0.4311223334701706,0.13826978572391369,1.556662262840775,0.04933090133735097,0.8224897487556588,0.04933090133735097
historical_targeted_hardware_12m_pct,2,150,1.4764339219111782,0.6614730483170002,0.3883107574297129,2.5645570863926435,0.025612357410199463,0.7298243764518351,0.03229596366593311
historical_targeted_hardware_12m_pct,3,149,1.988819528847936,0.9012192973098632,0.5063137847732111,3.4713252729226607,0.02732735387117417,0.674567835111203,0.03229596366593311
historical_targeted_hardware_12m_pct,4,148,2.521795276076048,1.0834898738641292,0.7394544335695552,4.304136118582541,0.019940013677873136,0.6194038626809496,0.028802241979150087
historical_targeted_hardware_12m_pct,5,147,3.146022314424757,1.2984992885071824,1.0099909848304423,5.282053644019072,0.015400807806827477,0.5798021856454512,0.02502631268609465
historical_targeted_hardware_12m_pct,6,146,3.6487925238081824,1.303540652622927,1.5044681502434676,5.793116897372897,0.005123894788855295,0.5578629437854372,0.00951580460787412
historical_targeted_hardware_12m_pct,7,146,4.514076776597639,1.2908353961650536,2.3906525499061257,6.637501003289152,0.0004704871324481253,0.5345896834720409,0.001019388786970938
historical_targeted_hardware_12m_pct,8,146,4.9576664372518096,1.2112420660844467,2.965173238542895,6.950159635960724,4.2574785380987786e-05,0.5250261029693045,0.00011069444199056824
historical_targeted_hardware_12m_pct,9,146,5.158923887738706,1.1471206679939263,3.2719103888886973,7.045937386588715,6.882802393508838e-06,0.4865291395860939,2.2369107778903724e-05
historical_targeted_hardware_12m_pct,10,145,5.457951855690862,0.9906183817083418,3.8283846177806393,7.087519093601085,3.595658522022786e-08,0.4854436619193184,2.3371780393148105e-07
historical_targeted_hardware_12m_pct,11,144,5.478456777683334,0.9673388373248282,3.8871843902839918,7.069729165082677,1.4837583338888612e-08,0.4287544077938584,1.9288858340555196e-07
historical_targeted_hardware_12m_pct,12,143,4.95328937084231,0.9832640909559947,3.3358199412196985,6.570758800464921,4.7140983119513567e-07,0.3598232412903515,2.042775935178921e-06
historical_ex_games_12m_pct,0,152,0.7063952974949594,0.23679745102632427,0.316863490556656,1.0959271044332628,0.0028532576470199594,0.8682410418258578,0.005020781890827967
historical_ex_games_12m_pct,1,151,1.0941339440209576,0.38952046923562333,0.45337277212835725,1.7348951159135582,0.004970716164195762,0.810447482150671,0.006256414592716936
historical_ex_games_12m_pct,2,150,1.740814860671909,0.6242646398991624,0.7138995280377869,2.767730193306031,0.005293889270760485,0.7096862208158969,0.006256414592716936
historical_ex_games_12m_pct,3,149,2.2695169875049297,0.8471767201018726,0.8759112829373492,3.66312269207251,0.007386047326510163,0.6554269753935249,0.007386047326510163
historical_ex_games_12m_pct,4,148,2.7729521455116366,1.0188619216973913,1.0969242843194278,4.448980006703845,0.006496334214251998,0.5992887618852201,0.007037695398772998
historical_ex_games_12m_pct,5,147,3.3634016749847078,1.1993015210059244,1.3905506729299622,5.336252677039454,0.005039982882630378,0.5633178600489126,0.006256414592716936
historical_ex_games_12m_pct,6,146,3.692682775359463,1.2480893598268703,1.6395757784442613,5.745789772274664,0.003089711932817211,0.5355445722170122,0.005020781890827967
historical_ex_games_12m_pct,7,146,4.416125473745611,1.2785543925296843,2.31290349803428,6.519347449456942,0.0005523396150942051,0.4972391239735039,0.001196735832704111
historical_ex_games_12m_pct,8,146,4.648087573534442,1.2520976074618368,2.58838700925972,6.707788137809163,0.00020543256147345824,0.4803041707957739,0.0005341246598309914
historical_ex_games_12m_pct,9,146,4.779481143402145,1.1973600580566082,2.8098238478990245,6.749138438905265,6.560618198629777e-05,0.43779910621216633,0.00021322009145546773
historical_ex_games_12m_pct,10,145,4.972437767156093,1.0808637748990741,3.1944168574471155,6.75045867686507,4.216203798689003e-06,0.4477193258853236,2.7405324691478517e-05
historical_ex_games_12m_pct,11,144,5.005940072502934,1.012737983332654,3.3399860899207185,6.67189405508515,7.693875326329006e-07,0.395433540302922,1.0002037924227706e-05
historical_ex_games_12m_pct,12,143,4.433410100432203,0.9918143416070274,2.801875508488643,6.0649446923757635,7.821959962126283e-06,0.3300546301898033,3.389515983588056e-05
expanded_consumer_tech_12m_pct,0,121,0.45717374686576506,0.1332744481627978,0.23793727963796268,0.6764102140935675,0.0006028741168470951,0.8600073089076798,0.001959340879753059
expanded_consumer_tech_12m_pct,1,120,0.6260176097773127,0.26207294604049863,0.19490761354069241,1.057127606013933,0.016907406692388525,0.7905469326123148,0.016907406692388525
expanded_consumer_tech_12m_pct,2,119,1.1063081969664945,0.3716710063658334,0.4949093914946986,1.7177070024382903,0.0029148375768260227,0.7269661221545133,0.004736611062342287
expanded_consumer_tech_12m_pct,3,118,1.3669929479709486,0.5247483371537152,0.5037819333530872,2.23020396258881,0.009186223694279325,0.7017829688077772,0.009951742335469268
expanded_consumer_tech_12m_pct,4,117,1.7414550734886531,0.59431024689207,0.763814717351198,2.7190954296261083,0.003387307187148242,0.6853058405322672,0.004892777048103016
expanded_consumer_tech_12m_pct,5,116,1.9586373724974933,0.6783010858054415,0.842832086347542,3.0744426586474445,0.0038823838587204737,0.6758336672015528,0.005047099016336615
expanded_consumer_tech_12m_pct,6,115,2.1635207282728848,0.6721940766002494,1.0577614722654745,3.269279984280295,0.0012882013416309016,0.6600064629590162,0.0023923739201716747
expanded_consumer_tech_12m_pct,7,115,2.488723819585684,0.6927590583575725,1.3491351685874773,3.6283124705838907,0.000327544425421599,0.6692675791853615,0.001708154189132355
expanded_consumer_tech_12m_pct,8,115,2.493460304926928,0.7463071334656536,1.2657850703759277,3.7211355394779284,0.0008345781812129522,0.6724466818455408,0.0021136409908921157
expanded_consumer_tech_12m_pct,9,115,2.7526252940796074,0.776712480743354,1.4749332632567902,4.030317324902425,0.00039418942826131273,0.6709420926229623,0.001708154189132355
expanded_consumer_tech_12m_pct,10,114,2.7492526637968386,0.7422505243613643,1.5282505512223943,3.970254776371283,0.00021227506966689784,0.6730559955990981,0.001708154189132355
expanded_consumer_tech_12m_pct,11,113,2.724266454060449,0.8261633227900702,1.3652277880707833,4.083305120050115,0.0009755266111809765,0.6103960092692622,0.0021136409908921157
expanded_consumer_tech_12m_pct,12,112,2.307316775345028,0.8709808618755093,0.8745532575598152,3.740080293130241,0.008070607033415021,0.5195188231335052,0.009537990130399571
