page_url,title,release_date,date,file_url,suffix,file
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10070024&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Mar. 2022,2022-04-14,2022-03-01,https://www.bok.or.kr/fileSrc/eng/dcabe4e8eda438ba6ba637386dc02897/3/202204130949110802.xlsx,.xlsx,202203.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10070531&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Apr. 2022,2022-05-13,2022-04-01,https://www.bok.or.kr/fileSrc/eng/cbac62907920e4e9e9ee178a8352a854/3/202205120545059572.xlsx,.xlsx,202204.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10071093&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - May. 2022,2022-06-16,2022-05-01,https://www.bok.or.kr/fileSrc/eng/6a7b0c71b9157c80ce8b02ca8553382a/3/202206150229386792.xlsx,.xlsx,202205.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10071680&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Jun. 2022,2022-07-15,2022-06-01,https://www.bok.or.kr/fileSrc/eng/84476e5437aad0a7e5a946004e798b8d/3/202207140431392532.xlsx,.xlsx,202206.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10072213&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Jul. 2022,2022-08-12,2022-07-01,https://www.bok.or.kr/fileSrc/eng/77432d50b134341059621e33ba03e688/3/202208110447246382.xlsx,.xlsx,202207.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10072780&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Aug. 2022,2022-09-16,2022-08-01,https://www.bok.or.kr/fileSrc/eng/ebb0696bac89564c85db780ed169ba6e/3/202209150436127432.xlsx,.xlsx,202208.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10073262&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Sep. 2022,2022-10-14,2022-09-01,https://www.bok.or.kr/fileSrc/eng/dea8189796083a32b416a57048a03e59/3/202210130550435102.xlsx,.xlsx,202209.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10073835&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Oct. 2022,2022-11-15,2022-10-01,https://www.bok.or.kr/fileSrc/eng/eb24935673a911d43eb690c88115398a/3/202211140435000682.xlsx,.xlsx,202210.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10074377&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Nov. 2022,2022-12-15,2022-11-01,https://www.bok.or.kr/fileSrc/eng/b91a7aed89b62a6eb04b9d672a67b0a4/3/202212140448332452.xlsx,.xlsx,202211.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10074970&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Dec. 2022,2023-01-13,2022-12-01,https://www.bok.or.kr/fileSrc/eng/1809b87e57d12545dc572985930c7e72/3/202301120525277202.xlsx,.xlsx,202212.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10075553&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Jan. 2023,2023-02-15,2023-01-01,https://www.bok.or.kr/fileSrc/eng/2b148a9832b7676c1cb35335ec9960ee/3/202302140504434772.xlsx,.xlsx,202301.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10076018&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Feb. 2023,2023-03-14,2023-02-01,https://www.bok.or.kr/fileSrc/eng/8e862a690d47dcbc3ae90b4134078734/3/202303130507471542.xlsx,.xlsx,202302.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10076809&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Mar. 2023,2023-04-13,2023-03-01,https://www.bok.or.kr/fileSrc/eng/ebeb19be820a77347b332482a572e265/3/202304120515059562.xlsx,.xlsx,202303.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10077377&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Apr. 2023,2023-05-16,2023-04-01,https://www.bok.or.kr/fileSrc/eng/518531ca940c9b9dc15e816851e61834/3/202305150528436952.xlsx,.xlsx,202304.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10077864&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - May 2023,2023-06-14,2023-05-01,https://www.bok.or.kr/fileSrc/eng/0631dd35c66ae964497610de00b9de55/3/202306130431521962.xlsx,.xlsx,202305.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10078371&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - Jun. 2023,2023-07-13,2023-06-01,https://www.bok.or.kr/fileSrc/eng/01685465a0ed4b955557b41be41d2aa9/3/202307120507436652.xlsx,.xlsx,202306.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10078972&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - July 2023,2023-08-17,2023-07-01,https://www.bok.or.kr/fileSrc/eng/7394c2313ac92107813834ce1ceb03d4/3/202308160243059952.xlsx,.xlsx,202307.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10079480&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - August 2023,2023-09-13,2023-08-01,https://www.bok.or.kr/fileSrc/eng/7531187a9dd934db053aaa1090b03b20/3/202309120439261292.xlsx,.xlsx,202308.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10079989&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - September 2023,2023-10-17,2023-09-01,https://www.bok.or.kr/fileSrc/eng/91ca6e42668d2382921c5d9629b04d1c/3/202310160436242922.xlsx,.xlsx,202309.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10080500&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - October 2023,2023-11-14,2023-10-01,https://www.bok.or.kr/fileSrc/eng/63bd38c6d9b03e001e3162ec26aedde3/3/202311130500189382.xlsx,.xlsx,202310.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10081112&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - November 2023,2023-12-13,2023-11-01,https://www.bok.or.kr/fileSrc/eng/1e97cb4120b968e758b58368b89ba0d6/3/202312120433147152.xlsx,.xlsx,202311.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10081829&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - December 2023(preliminary),2024-01-16,2023-12-01,https://www.bok.or.kr/fileSrc/eng/d226d8735a75c9d3a40136480ac61d84/3/202401150528101322.xlsx,.xlsx,202312.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10082449&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - January 2024(preliminary),2024-02-16,2024-01-01,https://www.bok.or.kr/fileSrc/eng/9a10eae7561395832bb04039470e4a10/3/202402150628487722.xlsx,.xlsx,202401.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10082963&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - February 2024(preliminary),2024-03-15,2024-02-01,https://www.bok.or.kr/fileSrc/eng/41cae5a00e4d4672eb06bb34804226dd/3/202403140318000282.xlsx,.xlsx,202402.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10083586&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - March 2024(preliminary),2024-04-16,2024-03-01,https://www.bok.or.kr/fileSrc/eng/10e121948076013da94c5e90c4be486c/3/202404150615473442.xlsx,.xlsx,202403.xlsx
