date,kr_epi_tech,kr_epi_tech_12m_pct,kr_epi_all,kr_epi_all_12m_pct,coverage_version,release_date,source_page,source_file,local_file
2022-02-01,85.1,9.2,118.21,20.3,computers_electronic_optical,2022-03-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10069491&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/9db52ed522bdd13e22d81dd30805747a/3/202203140124287741.xlsx,202202.xlsx
2022-03-01,86.09,8.4,125.03,22.8,computers_electronic_optical,2022-04-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10070024&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/dcabe4e8eda438ba6ba637386dc02897/3/202204130949110802.xlsx,202203.xlsx
2022-04-01,86.26,1.9,126.81,21.4,computers_electronic_optical,2022-05-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10070531&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/cbac62907920e4e9e9ee178a8352a854/3/202205120545059572.xlsx,202204.xlsx
2022-05-01,87.76,3.1,131.35,23.5,computers_electronic_optical,2022-06-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10071093&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/6a7b0c71b9157c80ce8b02ca8553382a/3/202206150229386792.xlsx,202205.xlsx
2022-06-01,87.02,1.4,132.81,23.7,computers_electronic_optical,2022-07-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10071680&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/84476e5437aad0a7e5a946004e798b8d/3/202207140431392532.xlsx,202206.xlsx
2022-07-01,85.1,-5.8,129.76,16.3,computers_electronic_optical,2022-08-12,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10072213&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/77432d50b134341059621e33ba03e688/3/202208110447246382.xlsx,202207.xlsx
2022-08-01,84.88,-6.3,128.17,13.4,computers_electronic_optical,2022-09-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10072780&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/ebb0696bac89564c85db780ed169ba6e/3/202209150436127432.xlsx,202208.xlsx
2022-09-01,87.63,-2.4,131.74,15.2,computers_electronic_optical,2022-10-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10073262&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/dea8189796083a32b416a57048a03e59/3/202210130550435102.xlsx,202209.xlsx
2022-10-01,83.35,-5.3,132.9,13.7,computers_electronic_optical,2022-11-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10073835&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/eb24935673a911d43eb690c88115398a/3/202211140435000682.xlsx,202210.xlsx
2022-11-01,79.46,-9.6,125.82,8.6,computers_electronic_optical,2022-12-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10074377&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/b91a7aed89b62a6eb04b9d672a67b0a4/3/202212140448332452.xlsx,202211.xlsx
2022-12-01,75.13,-14.2,118.03,3.1,computers_electronic_optical,2023-01-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10074970&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/1809b87e57d12545dc572985930c7e72/3/202301120525277202.xlsx,202212.xlsx
